  ;nombre_perfume;Tipo;estado;familia_olfativa;ocasion;intensidad;genero;;;;
black-xs-afrodisiaque---paco-rabanne;black-xs-afrodisiaque---paco-rabanne;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;MEDIA;HOMBRE;...,.;;;
blanc---la-coste;blanc---la-coste;1,1;ACTIVO;CITRICAS;OFICINA;ALTA;HOMBRE;;;;
blue---polo;blue---polo;ESTANDAR;ACTIVO;ACUATICAS;OFICINA;MEDIA;HOMBRE;,,m,;;;
bleu-channel;bleu---channel;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;MEDIA;HOMBRE;;;;
born-in-roma---valentino;born-in-roma---valentino;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
bottled-clasica---boss;bottled-clasica---boss;ESTANDAR;ACTIVO;CITRICAS;USO DIARIO;MEDIA;HOMBRE;;;;
centaurus---creed;centaurus---creed;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
ch-men---carolina-herrera;ch-men---carolina-herrera;ESTANDAR;ACTIVO;CITRICAS;USO DIARIO;BAJA;HOMBRE;;;;
clasica---one-million;clasica---one-million;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;MEDIA;HOMBRE;;;;
clasica-bvlgari---bvlgari;clasica-bvlgari---bvlgari;ESTANDAR;INACTIVO;ACUATICAS;USO DIARIO;BAJA;HOMBRE;;;;
club-de-nuit-intense---armaf;club-de-nuit-intense---armaf;1,1;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;MEDIA;HOMBRE;;;;
club-de-nuit-sillage---armaf;club-de-nuit-sillage---armaf;ESTANDAR;ACTIVO;CITRICAS;USO DIARIO;MEDIA;HOMBRE;;;;
club-de-nuit-untold---armaf;club-de-nuit-untold---armaf;ESTANDAR;INACTIVO;DULCES;CITA ROMATICA;ALTA;HOMBRE;;;;
cool-water---davidoff;cool-water---davidoff;ESTANDAR;INACTIVO;ACUATICAS;DEPORTE;MEDIA;HOMBRE;;;;
declaration---cartier;declaration---cartier;ESTANDAR;ACTIVO;AMADERADAS;USO DIARIO;MEDIA;HOMBRE;;;;
diesel-plus-plus---diesel;diesel-plus-plus---diesel;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;HOMBRE;;;;
dylan-blue---versace;dylan-blue---versace;ESTANDAR;ACTIVO;ACUATICAS;OFICINA;MEDIA;HOMBRE;;;;
eau-de-cartier---cartier;eau-de-cartier---cartier;ESTANDAR;ACTIVO;AROMATICO;OFICINA;BAJA;HOMBRE;;;;
eau-fraiche---versace;eau-fraiche---versace;ESTANDAR;ACTIVO;ACUATICAS;OFICINA;MEDIA;HOMBRE;;;;
elixir---sauvage;elixir---sauvage;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
emblem---montblanc;emblem---montblanc;ESTANDAR;ACTIVO;AMADERADAS;USO DIARIO;MEDIA;HOMBRE;;;;
emeer---lattafa;emeer---lattafa;ESTANDAR;ACTIVO;CITRICAS;USO DIARIO;MEDIA;HOMBRE;;;;
energise---boss;energise---boss;ESTANDAR;INACTIVO;CITRICAS;OFICINA;ALTA;HOMBRE;;;;
erba-pura---xerjoff;erba-pura---xerjoff;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;UNISEX;;;;
eros---versace;eros---versace;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;HOMBRE;;;;
eros-flame---versace;eros-flame---versace;1,1;ACTIVO;CITRICAS;DEPORTE;ALTA;HOMBRE;;;;
eternity---calvin-klein;eternity---calvin-klein;ESTANDAR;ACTIVO;AROMATICO;USO DIARIO;MEDIA;HOMBRE;;;;
;;;;;;;;;;;
fahrenheit---dior;fahrenheit---dior;ESTANDAR;ACTIVO;CITRICAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
fhakar-black---lattafa;fhakar-black---lattafa;ESTANDAR;ACTIVO;CITRICAS;USO DIARIO;MEDIA;HOMBRE;;;;
hawas---rasasi;hawas---rasasi;ESTANDAR;ACTIVO;ACUATICAS;USO DIARIO;BAJA;HOMBRE;;;;
hawas-fire---rasasi;hawas-fire---rasasi;ESTANDAR;ACTIVO;AROMATICO;CITA ROMATICA;ALTA;HOMBRE;;;;
herot---marly;herot---marly;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;HOMBRE;;;;
il-kakuno---ilmin;il-kakuno---ilmin;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
il-orgasme---ilmin;il-orgasme---ilmin;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;HOMBRE;;;;
ilmin-erotique---ilmin;ilmin-erotique---ilmin;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;HOMBRE;;;;
imagination---louis-vuitton;imagination---louis-vuitton;ESTANDAR;ACTIVO;CITRICAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
invictus-clasica---paco-rabanne;invictus-clasica---paco-rabanne;ESTANDAR;ACTIVO;AROMATICO;USO DIARIO;MEDIA;HOMBRE;;;;
invictus-intense---paco-rabanne;invictus-intense---paco-rabanne;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;HOMBRE;;;;
irish-tweed---creed;irish-tweed---creed;ESTANDAR;ACTIVO;ACTIVO;ACTIVO;ACTIVO;HOMBRE;;;;
khamrah-dunkhan---lattafa;khamrah-dunkhan---lattafa;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;HOMBRE;;;;
khamrah-qahwa---lattafa;khamrah-qahwa---lattafa;1,1;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;HOMBRE;;;;
king---bharara;king---bharara;1,1;ACTIVO;DULCES;CITA ROMATICA;ALTA;HOMBRE;;;;
king-of-seduction---antonio-banderas;king-of-seduction---antonio-banderas;ESTANDAR;ACTIVO;AROMATICO;OFICINA;MEDIA;HOMBRE;;;;
limmensite---louis-vuitton;limmensite---louis-vuitton;ESTANDAR;ACTIVO;AROMATICO;OFICINA;ALTA;HOMBRE;;;;
leau-dissey-miyake;leau-dissey-miyake;ESTANDAR;ACTIVO;AROMATICO;USO DIARIO;ALTA;HOMBRE;;;;
la-coste-essential;la-coste-essential;1,1;ACTIVO;CITRICAS;USO DIARIO;ALTA;HOMBRE;;;;
la-coste-red;la-coste-red;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;HOMBRE;;;;
layton---marly;layton---marly;1,1;ACTIVO;AROMATICO;CITA ROMATICA;ALTA;HOMBRE;;;;
le-beau---jean-paul-gaultier;le-beau---jean-paul-gaultier;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;HOMBRE;;;;
le-beau-paradise---jpg;le-beau-paradise---jpg;ESTANDAR;INACTIVO;FRUTALES;USO DIARIO;MEDIA;HOMBRE;;;;
le-male---jpg;le-male---jpg;ESTANDAR;ACTIVO;AROMATICO;OFICINA;MEDIA;HOMBRE;;;;
le-male-le-parfum---jpg;le-male-le-parfum---jpg;1,1;ACTIVO;AROMATICO;EVENTO FORMAL;ALTA;HOMBRE;;;;
loewe-7---loewe;loewe-7---loewe;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;MEDIA;HOMBRE;;;;
man-extreme---bvlgari;man-extreme---bvlgari;ESTANDAR;ACTIVO;CITRICAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
man-in-black---bvlgari;man-in-black---bvlgari;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;MEDIA;HOMBRE;;;;
mandarin-sky---armaf;mandarin-sky---armaf;1,1;ACTIVO;CITRICAS;CITA ROMATICA;ALTA;HOMBRE;;;;
mandarin-sky-elixir---armaf;mandarin-sky-elixir---armaf;1,1;ACTIVO;CITRICAS;USO DIARIO;ALTA;HOMBRE;;;;
maria-farina---roger-gallet;maria-farina---roger-gallet;ESTANDAR;ACTIVO;CITRICAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
megamare---orto-parasi;megamare---orto-parasi;ESTANDAR;ACTIVO;ACUATICAS;OFICINA;MEDIA;HOMBRE;;;;
millesime-imperial---creed;millesime-imperial---creed;ESTANDAR;ACTIVO;ACUATICAS;DEPORTE;MEDIA;HOMBRE;;;;
montana-homme---montana;montana-homme---montana;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
nebras---lattafa;nebras---lattafa;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
niche---bharara;niche---bharara;ESTANDAR;INACTIVO;AMADERADAS;OFICINA;MEDIA;MUJER;;;;
nitro-red---dumont;nitro-red---dumont;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;HOMBRE;;;;
noir-extreme---tom-ford;noir-extreme---tom-ford;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
oddyssey-aqua---armaf;oddyssey-aqua---armaf;ESTANDAR;ACTIVO;ACUATICAS;USO DIARIO;MEDIA;HOMBRE;;;;
ohm---yanbal;ohm---yanbal;ESTANDAR;ACTIVO;AMADERADAS;USO DIARIO;ALTA;HOMBRE;;;;
ombre-leather---tom-ford;ombre-leather---tom-ford;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
ombre-nomade---louis-vuitton;ombre-nomade---louis-vuitton;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;ALTA;HOMBRE;;;;
one---calvin-klein;one---calvin-klein;ESTANDAR;ACTIVO;FRESCO;DEPORTE;MEDIA;HOMBRE;;;;
one-million-golden-oud---paco-rabanne;one-million-golden-oud---paco-rabanne;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
one-million-lucky---paco-rabanne;one-million-lucky---paco-rabanne;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;MEDIA;HOMBRE;;;;
onix---invictus;onix---invictus;ESTANDAR;ACTIVO;AROMATICO;USO DIARIO;MEDIA;HOMBRE;;;;
opulend-oud---lattafa;opulend-oud---lattafa;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
osadia---yanbal;osadia---yanbal;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;MEDIA;HOMBRE;;;;
osadia---yanbal;osadia---yanbalmujer;;;;;;;;;;
oud-maracuja---maison-crivelli;oud-maracuja---maison-crivelli;ESTANDAR;ACTIVO;FRUTALES;EVENTO FORMAL;ALTA;UNISEX;;;;
oud-of-glory---lattafa;oud-of-glory---lattafa;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
oud-amethyst---lataffa;oud-amethyst---lataffa;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;UNISEX;;;;
oud-saffron---orientica;oud-saffron---orientica;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;HOMBRE;;;;
phantom---paco-rabanne;phantom---paco-rabanne;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;MEDIA;HOMBRE;;;;
polo-red---ralph-lauren;polo-red---ralph-lauren;ESTANDAR;ACTIVO;AROMATICO;USO DIARIO;MEDIA;HOMBRE;;;;
profumo---aqua-di-gio;profumo---aqua-di-gio;1,1;ACTIVO;ACUATICAS;EVENTO FORMAL;MEDIA;HOMBRE;;;;
clasica---aqua-di-gio;clasica---aqua-di-gio;1,1;ACTIVO;ACUATICAS;DEPORTE;MEDIA;HOMBRE;;;;
ra-ed-silver---lattafa;ra-ed-silver---lattafa;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;USO DIARIO;ALTA;HOMBRE;;;;
santal-33---le-labo;santal-33---le-labo;ESTANDAR;INACTIVO;AMADERADAS;EVENTO FORMAL;MEDIA;HOMBRE;;;;
safeer---lataffa;safeer---lataffa;;;;;;;;;;
sauvage---dior;sauvage---dior;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;ALTA;HOMBRE;;;;
scandal-men---jpg;scandal-men---jpg;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;HOMBRE;;;;
silver-mountain---creed;silver-mountain---creed;1,1;ACTIVO;CITRICAS;USO DIARIO;ALTA;HOMBRE;;;;
solo---loewe;solo---loewe;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;MEDIA;HOMBRE;;;;
solo---yanbal;solo---yanbal;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;ALTA;HOMBRE;;;;
spice-boom---viktor-rolf;spice-boom---viktor-rolf;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;OFICINA;ALTA;HOMBRE;;;;
starwalker---montblanc;starwalker---montblanc;1,1;ACTIVO;FRESCO;OFICINA;MEDIA;HOMBRE;;;;
stronger-with-you---lattafa;stronger-with-you---lattafa;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
summer-hammer---lorenzo-pazzaglia;summer-hammer---lorenzo-pazzaglia;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;ALTA;HOMBRE;;;;
sun-gria---lorenzo-pazzaglia;sun-gria---lorenzo-pazzaglia;ESTANDAR;INACTIVO;FRUTALES;CITA ROMATICA;ALTA;HOMBRE;;;;
swiss-army---victorinox;swiss-army---victorinox;1,1;ACTIVO;AROMATICO;OFICINA;ALTA;HOMBRE;;;;
the-most-wanted---azzaro;the-most-wanted---azzaro;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;MEDIA;HOMBRE;;;;
tommy-hilfiger---tommy;tommy-hilfiger---tommy;ESTANDAR;ACTIVO;FRESCO;USO DIARIO;MEDIA;HOMBRE;;;;
toy-boy---moschino;toy-boy---moschino;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;ALTA;HOMBRE;;;;
ultramale---jean-paul-gaultier;ultramale---jean-paul-gaultier;1,1;ACTIVO;DULCES;CITA ROMATICA;ALTA;HOMBRE;;;;
uomo---valentino;uomo---valentino;ESTANDAR;ACTIVO;AROMATICO;DEPORTE;BAJA;HOMBRE;;;;
victory---invictus;victory---invictus;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;HOMBRE;;;;
voyage---nautica;voyage---nautica;1,1;ACTIVO;ACUATICAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
yves-saint-laurent;yves-saint-laurent;ESTANDAR;ACTIVO;AROMATICO;DEPORTE;MEDIA;HOMBRE;;;;
212-heroes-for-her---carolina-herrera;212-heroes-for-her---carolina-herrera;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;MUJER;;;;
212-nyc-for-her---carolina-herrera;212-nyc-for-her---carolina-herrera;ESTANDAR;ACTIVO;FLORALES;USO DIARIO;BAJA;MUJER;;;;
212-vip-for-her---carolina-herrera;212-vip-for-her---carolina-herrera;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;MEDIA;MUJER;;;;
212-vip-rose---carolina-herrera;212-vip-rose---carolina-herrera;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;ALTA;MUJER;;;;
273---beverly-hills;273---beverly-hills;ESTANDAR;ACTIVO;ATALCADO;EVENTO FORMAL;ALTA;MUJER;;;;
360°---perry-ellis;360°---perry-ellis;ESTANDAR;ACTIVO;FLORALES;USO DIARIO;ALTA;MUJER;;;;
acqua-di-gioia---giorgio-armani;acqua-di-gioia---giorgio-armani;ESTANDAR;ACTIVO;ACUATICAS;USO DIARIO;MEDIA;MUJER;;;;
adrenalina---yanbal;adrenalina---yanbal;ESTANDAR;ACTIVO;FLORALES;USO DIARIO;ALTA;MUJER;;;;
agua-mistica---sol-de-janeiro;agua-mistica---sol-de-janeiro;ESTANDAR;ACTIVO;ACUATICAS;USO DIARIO;MEDIA;MUJER;;;;
amber-oud-gold---al-hamarain;amber-oud-gold---al-hamarain;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;UNISEX;;;;
amber-rouge---orientica;amber-rouge---orientica;1,1;ACTIVO;DULCES;EVENTO FORMAL;ALTA;UNISEX;;;;
amethyste-omnia---bvlgari;amethyste-omnia---bvlgari;ESTANDAR;ACTIVO;ATALCADO;USO DIARIO;BAJA;MUJER;;;;
arabian-tonka---montale;arabian-tonka---montale;ESTANDAR;ACTIVO;DULCES;EVENTO FORMAL;ALTA;MUJER;;;;
ari---ariana-grande;ari---ariana-grande;ESTANDAR;ACTIVO;FRUTALES;OFICINA;MEDIA;MUJER;;;;
almaz---kajal;almaz---kajal;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;MUJER;;;;
atonic-rose---initio;atonic-rose---initio;ESTANDAR;ACTIVO;FLORALES;EVENTO FORMAL;ALTA;MUJER;;;;
aventus-for-her---creed;aventus-for-her---creed;ESTANDAR;INACTIVO;CITRICAS;DEPORTE;BAJA;MUJER;;;;
azure-fantasy---orientica;azure-fantasy---orientica;ESTANDAR;ACTIVO;CITRICAS;DEPORTE;MEDIA;UNISEX;;;;
berry-on-top---lattafa;berry-on-top---lattafa;ESTANDAR;ACTIVO;DULCES;OFICINA;ALTA;MUJER;;;;
bff---kim-kardashian;bff---kim-kardashian;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;ALTA;MUJER;;;;
bianco-latte---gardoni-toscana;bianco-latte---gardoni-toscana;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
bright-crystal---versace;bright-crystal---versace;ESTANDAR;ACTIVO;FLORALES;USO DIARIO;BAJA;MUJER;;;;
black-opium---ysaintlaurent;black-opium---ysaintlaurent;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
burberry-her---burberry;burberry-her---burberry;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;ALTA;MUJER;;;;
burberry-london---burberry;burberry-london---burberry;ESTANDAR;INACTIVO;FLORALES;USO DIARIO;BAJA;MUJER;;;;
can-can---paris-hilton;can-can---paris-hilton;ESTANDAR;ACTIVO;FLORALES;EVENTO FORMAL;MEDIA;MUJER;;;;
clasica---paris-hilton;clasica---paris-hilton;ESTANDAR;ACTIVO;;;;;;;;
candy---yara;candy---yara;1,1;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
carioca-crush---sol-de-janeiro;carioca-crush---sol-de-janeiro;ESTANDAR;ACTIVO;FRUTALES;DEPORTE;MEDIA;MUJER;;;;
ccori---yanbal;ccori---yanbal;ESTANDAR;INACTIVO;FLORALES;EVENTO FORMAL;ALTA;MUJER;;;;
celos---yanbal;celos---yanbal;ESTANDAR;ACTIVO;DULCES;EVENTO FORMAL;ALTA;MUJER;;;;
chance---chanel;chance---chanel;ESTANDAR;ACTIVO;FLORALES;USO DIARIO;BAJA;MUJER;;;;
chanel-n5---chanel;chanel-n5---chanel;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;ALTA;MUJER;;;;
cielo---yanbal;cielo---yanbal;ESTANDAR;ACTIVO;ATALCADO;CITA ROMATICA;ALTA;MUJER;;;;
cloud---ariana-grande;cloud---ariana-grande;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
cloud-pink---ariana-grande;cloud-pink---ariana-grande;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
cloud-2-0---ariana-grande;cloud-2-0---ariana-grande;1,1;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
club-de-nuit-lionheart---armaf;club-de-nuit-lionheart---armaf;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;MEDIA;MUJER;;;;
coco-madmoiselle---chanel;coco-madmoiselle---chanel;ESTANDAR;ACTIVO;CITRICAS;OFICINA;ALTA;MUJER;;;;
coconut-passion---victoria-secret;coconut-passion---victoria-secret;ESTANDAR;ACTIVO;FRUTALES;OFICINA;ALTA;MUJER;;;;
cookie-crave---lattafa;cookie-crave---lattafa;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
cosmic-power-charlotte-tibury;cosmic-power-charlotte-tibury;ESTANDAR;ACTIVO;;;;;;;;
delina---marly;delina---marly;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;ALTA;MUJER;;;;
devotion---dolce-and-gabanna;devotion---dolce-and-gabanna;ESTANDAR;ACTIVO;DULCES;EVENTO FORMAL;ALTA;MUJER;;;;
donna---valentino;donna---valentino;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;MEDIA;MUJER;;;;
eclaire---lattafa;eclaire---lattafa;ESTANDAR;ACTIVO;DULCES;EVENTO FORMAL;ALTA;MUJER;;;;
eden-juicy-apple---kayaly;eden-juicy-apple---kayaly;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
elixir---shakira;elixir---shakira;ESTANDAR;INACTIVO;ATALCADO;EVENTO FORMAL;ALTA;MUJER;;;;
funny---mochino;funny---mochino;ESTANDAR;ACTIVO;CITRICAS;DEPORTE;MEDIA;MUJER;;;;
gaia---yanbal;gaia---yanbal;ESTANDAR;ACTIVO;ATALCADO;USO DIARIO;MEDIA;MUJER;;;;
gaultier-divine---jean-paul-gaultier;gaultier-divine---jean-paul-gaultier;ESTANDAR;ACTIVO;FLORALES;EVENTO FORMAL;MEDIA;MUJER;;;;
good-girl---carolina-herrera;good-girl---carolina-herrera;1,1;ACTIVO;FLORALES;OFICINA;ALTA;MUJER;;;;
good-girl-blush---carolina-herrera;good-girl-blush---carolina-herrera;ESTANDAR;INACTIVO;FLORALES;USO DIARIO;MEDIA;MUJER;;;;
guess---guess;guess---guess;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;MUJER;;;;
haya---lattafa;haya---lattafa;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;MEDIA;MUJER;;;;
her-confession---lattafa;her-confession---lattafa;ESTANDAR;INACTIVO;FLORALES;EVENTO FORMAL;ALTA;MUJER;;;;
her-elixir---burberry;her-elixir---burberry;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;MUJER;;;;
honor-and-glory---lattafa;honor-and-glory---lattafa;ESTANDAR;ACTIVO;DULCES;OFICINA;ALTA;MUJER;;;;
il-femme---ilmin;il-femme---ilmin;ESTANDAR;ACTIVO;AMADERADAS;OFICINA;ALTA;MUJER;;;;
il-orgasme---ilmin;il-orgasme---ilmin;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;HOMBRE;;;;
intense-cafe---montale;intense-cafe---montale;ESTANDAR;INACTIVO;FLORALES;OFICINA;ALTA;MUJER;;;;
juiced-berry---victoria-secret;juiced-berry---victoria-secret;ESTANDAR;ACTIVO;DULCES;USO DIARIO;ALTA;MUJER;;;;
karpos---ahli;karpos---ahli;ESTANDAR;ACTIVO;FRUTALES;CITA ROMATICA;ALTA;MUJER;;;;
khamrah---lattafa;khamrah---lattafa;1,1;ACTIVO;DULCES;CITA ROMATICA;ALTA;UNISEX;;;;
ladventure-grapefruit---al-hamarain;ladventure-grapefruit---al-hamarain;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
la-vie-est-belle---lancome;la-vie-est-belle---lancome;1,1;ACTIVO;FLORALES;USO DIARIO;ALTA;MUJER;;;;
lady-million-royal---paco-rabanne;lady-million-royal---paco-rabanne;ESTANDAR;INACTIVO;AMADERADAS;OFICINA;MEDIA;MUJER;;;;
light-blue-for-her---dng;light-blue-for-her---dng;ESTANDAR;ACTIVO;CITRICAS;DEPORTE;MEDIA;MUJER;;;;
mallow-madness---lattafa;mallow-madness---lattafa;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
